year_name,state,prevalence_percent
2011,AL,8
2011,AK,8.2
2011,AZ,9.6
2011,AR,9.5
2011,CA,8.4
2011,CO,8.3
2011,CT,9.9
2011,DE,9.8
2011,DC,10.1
2011,FL,7.6
2011,GA,9.6
2011,HI,9.5
2011,ID,9.2
2011,IL,8.1
2011,IN,9.6
2011,IA,8.3
2011,KS,8.8
2011,KY,10.4
2011,LA,6.4
2011,ME,12
2011,MD,8.5
2011,MA,10.7
2011,MI,9.9
2011,MN,7
2011,MS,7.7
2011,MO,9.2
2011,MT,9.1
2011,NE,7.3
2011,NV,8.1
2011,NH,11
2011,NJ,9
2011,NM,10
2011,NY,9.7
2011,NC,8.8
2011,ND,8.1
2011,OH,9.8
2011,OK,9.6
2011,OR,10.4
2011,PA,9
2011,RI,11.8
2011,SC,8.2
2011,SD,6.9
2011,TN,7.2
2011,TX,7.4
2011,UT,8.8
2011,VT,11.1
2011,VA,8.7
2011,WA,9.7
2011,WV,9.2
2011,WI,9.2
2011,WY,9.1
2012,AL,8.6
2012,AK,9
2012,AZ,8.6
2012,AR,8.8
2012,CA,8.8
2012,CO,8.9
2012,CT,9.9
2012,DE,9.9
2012,DC,10.3
2012,FL,8.2
2012,GA,8.2
2012,HI,8.9
2012,ID,8.5
2012,IL,8.5
2012,IN,9.1
2012,IA,8.1
2012,KS,8.4
2012,KY,11.1
2012,LA,7.4
2012,ME,11.1
2012,MD,9
2012,MA,10.8
2012,MI,10.5
2012,MN,8
2012,MS,8.1
2012,MO,10.4
2012,MT,9.5
2012,NE,7.4
2012,NV,7.4
2012,NH,10.2
2012,NJ,8.7
2012,NM,9.2
2012,NY,9.3
2012,NC,7.7
2012,ND,7.6
2012,OH,10.5
2012,OK,10.2
2012,OR,10.6
2012,PA,10.1
2012,RI,10.8
2012,SC,8.7
2012,SD,7.5
2012,TN,7.7
2012,TX,6.8
2012,UT,8.9
2012,VT,10.9
2012,VA,8.7
2012,WA,9.7
2012,WV,10.2
2012,WI,8.6
2012,WY,9
2013,AL,8.5
2013,AK,9.3
2013,AZ,8.9
2013,AR,8.3
2013,CA,8.7
2013,CO,8.7
2013,CT,9.8
2013,DE,10.6
2013,DC,11.9
2013,FL,8.3
2013,GA,8.4
2013,HI,9.4
2013,ID,8.5
2013,IL,7.6
2013,IN,10.3
2013,IA,7.8
2013,KS,8.9
2013,KY,9.5
2013,LA,7.7
2013,ME,11.9
2013,MD,9.4
2013,MA,11.4
2013,MI,11.5
2013,MN,7.7
2013,MS,8.2
2013,MO,10.8
2013,MT,8.6
2013,NE,7.3
2013,NV,7.6
2013,NH,11
2013,NJ,9
2013,NM,9.2
2013,NY,9.7
2013,NC,8.4
2013,ND,8.3
2013,OH,9.7
2013,OK,9
2013,OR,11.4
2013,PA,9.6
2013,RI,12
2013,SC,8.4
2013,SD,7.9
2013,TN,7.1
2013,TX,7.3
2013,UT,9
2013,VT,11.3
2013,VA,8.7
2013,WA,9.9
2013,WV,9
2013,WI,10.4
2013,WY,9.1
2014,AL,9.5
2014,AK,8.1
2014,AZ,9.6
2014,AR,8.8
2014,CA,7.8
2014,CO,8.4
2014,CT,9.2
2014,DE,8.8
2014,DC,11.5
2014,FL,8
2014,GA,8.3
2014,HI,9.2
2014,ID,8.6
2014,IL,9.1
2014,IN,10.7
2014,IA,8.5
2014,KS,8.7
2014,KY,11.9
2014,LA,7.7
2014,ME,11.6
2014,MD,8.5
2014,MA,12
2014,MI,10.9
2014,MN,8.4
2014,MS,7.4
2014,MO,9.7
2014,MT,9.6
2014,NE,7.7
2014,NV,8.1
2014,NH,10.2
2014,NJ,8.3
2014,NM,9.9
2014,NY,10.7
2014,NC,7.8
2014,ND,8.7
2014,OH,10.8
2014,OK,9.7
2014,OR,10.2
2014,PA,9.8
2014,RI,10.8
2014,SC,8.3
2014,SD,7.5
2014,TN,8.9
2014,TX,6.7
2014,UT,8.7
2014,VT,11.3
2014,VA,8.6
2014,WA,9.3
2014,WV,11
2014,WI,10.3
2014,WY,8.3
2015,AL,9.9
2015,AK,9.2
2015,AZ,9.3
2015,AR,10.1
2015,CA,7.7
2015,CO,9
2015,CT,10.5
2015,DE,9.2
2015,DC,10.6
2015,FL,7.4
2015,GA,9.2
2015,HI,10
2015,ID,9.1
2015,IL,8.4
2015,IN,10.2
2015,IA,7.6
2015,KS,8.7
2015,KY,11.9
2015,LA,8.2
2015,ME,11.2
2015,MD,8.8
2015,MA,10.2
2015,MI,10.2
2015,MN,7.4
2015,MS,7.8
2015,MO,9.6
2015,MT,8.9
2015,NE,7.2
2015,NV,8.1
2015,NH,10.1
2015,NJ,7.2
2015,NM,9.9
2015,NY,9.9
2015,NC,8.2
2015,ND,9
2015,OH,10
2015,OK,9.5
2015,OR,11.2
2015,PA,10.2
2015,RI,11
2015,SC,8.2
2015,SD,8.4
2015,TN,9
2015,TX,7.6
2015,UT,9
2015,VT,11
2015,VA,7.9
2015,WA,9.4
2015,WV,10.8
2015,WI,9.5
2015,WY,8
2016,AL,9.7
2016,AK,8.8
2016,AZ,9.4
2016,AR,8.5
2016,CA,7.8
2016,CO,8.8
2016,CT,10.5
2016,DE,8.5
2016,DC,9.9
2016,FL,6.7
2016,GA,8.5
2016,HI,10.7
2016,ID,9.3
2016,IL,8.9
2016,IN,10.2
2016,IA,7.8
2016,KS,8.8
2016,KY,11.6
2016,LA,8.4
2016,ME,12.2
2016,MD,9.4
2016,MA,10.3
2016,MI,10.9
2016,MN,7.6
2016,MS,8
2016,MO,9.9
2016,MT,8.5
2016,NE,8.3
2016,NV,7.9
2016,NH,11.4
2016,NJ,8.2
2016,NM,11.8
2016,NY,9.5
2016,NC,8
2016,ND,9
2016,OH,9.7
2016,OK,10
2016,OR,10.5
2016,PA,10.6
2016,RI,10.7
2016,SC,8.8
2016,SD,6.2
2016,TN,10.9
2016,TX,7.6
2016,UT,8.3
2016,VT,10.2
2016,VA,8.6
2016,WA,9.6
2016,WV,11.8
2016,WI,8.5
2016,WY,9.5
2017,AL,10.9
2017,AK,8.4
2017,AZ,9.8
2017,AR,9.6
2017,CA,7.9
2017,CO,9.3
2017,CT,10.7
2017,DE,10.6
2017,DC,9.4
2017,FL,7.5
2017,GA,8.4
2017,HI,9.8
2017,ID,9
2017,IL,8.2
2017,IN,10
2017,IA,9.3
2017,KS,9.1
2017,KY,10.7
2017,LA,9
2017,ME,11.2
2017,MD,9.4
2017,MA,11.5
2017,MI,10.8
2017,MN,7.3
2017,MS,8.3
2017,MO,9.4
2017,MT,9.1
2017,NE,8.2
2017,NV,10.4
2017,NH,13.2
2017,NJ,8.6
2017,NM,10.5
2017,NY,9.2
2017,NC,9.2
2017,ND,8.6
2017,OH,9.9
2017,OK,9.6
2017,OR,10.9
2017,PA,10.1
2017,RI,12.3
2017,SC,9.2
2017,SD,7.3
2017,TN,10
2017,TX,7.3
2017,UT,8.9
2017,VT,11.8
2017,VA,8.9
2017,WA,10.5
2017,WV,12.7
2017,WI,9.5
2017,WY,9.1
2018,AL,10.5
2018,AK,9.2
2018,AZ,10
2018,AR,9.8
2018,CA,8.5
2018,CO,9.1
2018,CT,10.3
2018,DE,10.1
2018,DC,11.6
2018,FL,8.7
2018,GA,8.9
2018,HI,9.3
2018,ID,8.6
2018,IL,8.7
2018,IN,10
2018,IA,7.9
2018,KS,9.8
2018,KY,11.5
2018,LA,8.9
2018,ME,12.3
2018,MD,9.3
2018,MA,10.2
2018,MI,11.2
2018,MN,8.3
2018,MS,9.7
2018,MO,9.4
2018,MT,10
2018,NE,8.9
2018,NV,8
2018,NH,11.8
2018,NJ,8.4
2018,NM,9.9
2018,NY,10.1
2018,NC,9.4
2018,ND,8.2
2018,OH,9.4
2018,OK,10.3
2018,OR,11.6
2018,PA,10
2018,RI,11.9
2018,SC,9.1
2018,SD,7.9
2018,TN,9.8
2018,TX,7.4
2018,UT,9.3
2018,VT,12
2018,VA,8.5
2018,WA,9.6
2018,WV,12.3
2018,WI,9
2018,WY,8.7
2019,AL,9.5
2019,AK,9.9
2019,AZ,9.7
2019,AR,9.3
2019,CA,7.8
2019,CO,9.7
2019,CT,10.5
2019,DE,9.8
2019,DC,11.4
2019,FL,7.4
2019,GA,7.7
2019,HI,9.6
2019,ID,10
2019,IL,8.2
2019,IN,9.8
2019,IA,8
2019,KS,9.9
2019,KY,9.5
2019,LA,7.9
2019,ME,11.8
2019,MD,9
2019,MA,10.3
2019,MI,11.1
2019,MN,8.3
2019,MS,9.9
2019,MO,10.1
2019,MT,10
2019,NE,8
2019,NV,9.4
2019,NH,10.8
2019,NM,8.4
2019,NY,9.3
2019,NC,8.3
2019,ND,8.1
2019,OH,11.1
2019,OK,10.2
2019,OR,11.1
2019,PA,10.9
2019,RI,11.2
2019,SC,9.4
2019,SD,8.5
2019,TN,8.8
2019,TX,7.1
2019,UT,9.9
2019,VT,11.6
2019,VA,8.8
2019,WA,9.9
2019,WV,11.5
2019,WI,10.2
2019,WY,9.5
2020,AL,9
2020,AK,8.9
2020,AZ,9.6
2020,AR,9.1
2020,CA,9.3
2020,CO,9.6
2020,CT,10.6
2020,DE,10.8
2020,DC,10.4
2020,FL,7.3
2020,GA,9
2020,HI,8.8
2020,ID,9.4
2020,IL,8.5
2020,IN,9.6
2020,IA,9.1
2020,KS,9.8
2020,KY,11.5
2020,LA,7.8
2020,ME,10.6
2020,MD,8.9
2020,MA,10.7
2020,MI,11
2020,MN,8.5
2020,MS,8.9
2020,MO,9.3
2020,MT,10.6
2020,NE,7.8
2020,NV,9.5
2020,NH,11.5
2020,NJ,8.7
2020,NM,10.1
2020,NY,9.5
2020,NC,7.8
2020,ND,8.6
2020,OH,9.9
2020,OK,10.8
2020,OR,10.6
2020,PA,10.2
2020,RI,12.1
2020,SC,9.4
2020,SD,8.1
2020,TN,10.3
2020,TX,7.4
2020,UT,10.8
2020,VT,10.8
2020,VA,8.6
2020,WA,9.6
2020,WV,12.4
2020,WI,10.2
2020,WY,10
2021,AL,10.1
2021,AK,9
2021,AZ,9.4
2021,AR,9
2021,CA,8.8
2021,CO,10.4
2021,CT,10.5
2021,DE,9.8
2021,DC,11.6
2021,GA,9.4
2021,HI,8.1
2021,ID,9.8
2021,IL,8.7
2021,IN,10.3
2021,IA,9.1
2021,KS,10.6
2021,KY,11.7
2021,LA,9.7
2021,ME,12.5
2021,MD,9.4
2021,MA,11.7
2021,MI,11.5
2021,MN,8.8
2021,MS,10
2021,MO,9.4
2021,MT,9.7
2021,NE,8.2
2021,NV,9.1
2021,NH,12.1
2021,NJ,8.9
2021,NM,10.6
2021,NY,9.8
2021,NC,8.7
2021,ND,8.4
2021,OH,10.4
2021,OK,10.9
2021,OR,11.2
2021,PA,10.3
2021,RI,12.6
2021,SC,9.2
2021,SD,8.3
2021,TN,10.3
2021,TX,8.4
2021,UT,9.7
2021,VT,11.8
2021,VA,9.8
2021,WA,10.5
2021,WV,12.1
2021,WI,10.8
2021,WY,9.7
